ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Logistic-Perceptron-Nearest Neighbors,5,airlines,0.38776,2313.3558999999996
Decision Tree-Extra Tree-Logistic-Perceptron-Quadratic Discriminant,5,airlines,0.40279999999999994,212.7491
Decision Tree-Extra Tree-Logistic-Perceptron-Random Forest (10 estimators),5,airlines,0.37643999999999994,156.8635
Decision Tree-Extra Tree-Logistic-Perceptron-Ridge,5,airlines,0.36972,119.3163
Decision Tree-Extra Tree-Logistic-Perceptron-SGD,5,airlines,0.39184,113.4915
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant,4,airlines,0.37808,201.7682
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-BernoulliNB,5,airlines,0.37771999999999994,240.51070000000004
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Extra Trees,5,airlines,0.38323999999999997,443.88559999999995
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Gradient Boosting,5,airlines,0.37064,232.99609999999998
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-MultinomialNB,5,airlines,0.39796000000000004,222.03030000000004
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Nearest Neighbors,5,airlines,0.38903999999999994,2398.6522
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Random Forest (10 estimators),5,airlines,0.37888,239.8603
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators),4,airlines,0.3698,134.56320000000002
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.36204,152.879
Decision Tree-Extra Tree-Logistic-Ridge,4,airlines,0.3594,113.22380000000001
Decision Tree-Extra Tree-Logistic-Ridge-BernoulliNB,5,airlines,0.35575999999999997,133.8331
Decision Tree-Extra Tree-Logistic-Ridge-Extra Trees,5,airlines,0.36704000000000003,332.44079999999997
Decision Tree-Extra Tree-Logistic-Ridge-Gradient Boosting,5,airlines,0.3532799999999999,129.2905
Decision Tree-Extra Tree-Logistic-Ridge-Linear Discriminant,5,airlines,0.35483999999999993,115.75330000000001
Decision Tree-Extra Tree-Logistic-Ridge-Multi-layer Perceptron,5,airlines,0.36256,125.09630000000001
Decision Tree-Extra Tree-Logistic-Ridge-MultinomialNB,5,airlines,0.3628,110.6962
Decision Tree-Extra Tree-Logistic-Ridge-Nearest Neighbors,5,airlines,0.36496,2291.1261999999997
Decision Tree-Extra Tree-Logistic-Ridge-Quadratic Discriminant,5,airlines,0.37256,202.97179999999997
Decision Tree-Extra Tree-Logistic-Ridge-Random Forest (10 estimators),5,airlines,0.3618,139.30180000000001
