ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.0752,116.7992
Decision Tree-Extra Tree-Nearest Neighbors,3,MiniBooNE,0.09948,1685.1697
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees,4,MiniBooNE,0.09124000000000002,1796.5949
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees-Gradient Boosting,5,MiniBooNE,0.07424,1795.1396
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.07780000000000001,1738.9004999999997
Decision Tree-Extra Tree-Nearest Neighbors-Gradient Boosting,4,MiniBooNE,0.08916,1726.9363
Decision Tree-Extra Tree-Nearest Neighbors-Random Forest (10 estimators),4,MiniBooNE,0.09396000000000002,1721.3812999999998
Decision Tree-Extra Tree-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.07715999999999999,1717.6372
Decision Tree-Extra Tree-Passive Aggressive,3,MiniBooNE,0.11179999999999998,98.89179999999999
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB,4,MiniBooNE,0.12400000000000003,91.57099999999998
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Extra Trees,5,MiniBooNE,0.09336,197.56810000000002
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Gradient Boosting,5,MiniBooNE,0.09196,109.8914
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors,5,MiniBooNE,0.1042,1732.0631999999998
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Random Forest (10 estimators),5,MiniBooNE,0.0968,111.29960000000001
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees,4,MiniBooNE,0.09432,180.80679999999998
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees-Gradient Boosting,5,MiniBooNE,0.07652000000000002,197.1232
