ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Quadratic Discriminant,5,Australian,0.15072463768115943,3.2060000000000004
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Random Forest (10 estimators),5,Australian,0.1492753623188406,4.7995
Decision Tree-Extra Tree-Logistic-MultinomialNB,4,Australian,0.17101449275362318,2.2001
Decision Tree-Extra Tree-Logistic-MultinomialNB-Extra Trees,5,Australian,0.15507246376811595,16.6002
Decision Tree-Extra Tree-Logistic-MultinomialNB-Gradient Boosting,5,Australian,0.15507246376811593,3.0000999999999998
Decision Tree-Extra Tree-Logistic-MultinomialNB-Nearest Neighbors,5,Australian,0.1681159420289855,6.6003
Decision Tree-Extra Tree-Logistic-MultinomialNB-Random Forest (10 estimators),5,Australian,0.15217391304347822,4.1996
Decision Tree-Extra Tree-Logistic-Nearest Neighbors,4,Australian,0.17246376811594205,5.4001
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Extra Trees,5,Australian,0.15217391304347827,17.8012
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Gradient Boosting,5,Australian,0.1463768115942029,7.9003
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Random Forest (10 estimators),5,Australian,0.1507246376811594,9.4997
Decision Tree-Extra Tree-Logistic-Passive Aggressive,4,Australian,0.17246376811594202,3.1002
Decision Tree-Extra Tree-Logistic-Passive Aggressive-BernoulliNB,5,Australian,0.1492753623188406,3.3004
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Extra Trees,5,Australian,0.1492753623188406,16.451900000000002
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Gradient Boosting,5,Australian,0.1463768115942029,3.1982000000000004
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Linear Discriminant,5,Australian,0.15362318840579708,2.7
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Multi-layer Perceptron,5,Australian,0.15072463768115943,2.3003
Decision Tree-Extra Tree-Logistic-Passive Aggressive-MultinomialNB,5,Australian,0.1782608695652174,2.9001000000000006
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Nearest Neighbors,5,Australian,0.16086956521739132,6.000400000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Perceptron,5,Australian,0.1869565217391304,2.8936
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Quadratic Discriminant,5,Australian,0.17246376811594202,2.4997
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Random Forest (10 estimators),5,Australian,0.1463768115942029,5.1015999999999995
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Ridge,5,Australian,0.15217391304347824,2.4988
Decision Tree-Extra Tree-Logistic-Passive Aggressive-SGD,5,Australian,0.15652173913043477,2.1990000000000003
Decision Tree-Extra Tree-Logistic-Perceptron,4,Australian,0.17391304347826084,2.9
Decision Tree-Extra Tree-Logistic-Perceptron-BernoulliNB,5,Australian,0.14202898550724638,2.9995000000000003
Decision Tree-Extra Tree-Logistic-Perceptron-Extra Trees,5,Australian,0.14782608695652175,17.5928
Decision Tree-Extra Tree-Logistic-Perceptron-Gradient Boosting,5,Australian,0.14782608695652172,3.3999
Decision Tree-Extra Tree-Logistic-Perceptron-Linear Discriminant,5,Australian,0.1492753623188406,2.7999
Decision Tree-Extra Tree-Logistic-Perceptron-Multi-layer Perceptron,5,Australian,0.1565217391304348,2.6007
Decision Tree-Extra Tree-Logistic-Perceptron-MultinomialNB,5,Australian,0.1797101449275362,2.8994
Decision Tree-Extra Tree-Logistic-Perceptron-Nearest Neighbors,5,Australian,0.16521739130434782,7.4068999999999985
Decision Tree-Extra Tree-Logistic-Perceptron-Quadratic Discriminant,5,Australian,0.17391304347826086,2.7013000000000003
Decision Tree-Extra Tree-Logistic-Perceptron-Random Forest (10 estimators),5,Australian,0.1492753623188406,4.9
Decision Tree-Extra Tree-Logistic-Perceptron-Ridge,5,Australian,0.14782608695652172,3.3
Decision Tree-Extra Tree-Logistic-Perceptron-SGD,5,Australian,0.1565217391304348,2.6998
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant,4,Australian,0.18985507246376815,2.8053
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-BernoulliNB,5,Australian,0.15072463768115943,3.2
