ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant-Gradient Boosting,5,jannis,0.35235999999999995,118.5003
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant-Nearest Neighbors,5,jannis,0.39864000000000005,1426.2913000000003
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant-Random Forest (10 estimators),5,jannis,0.36116000000000004,107.21509999999998
Decision Tree-Extra Tree-Passive Aggressive-Random Forest (10 estimators),4,jannis,0.37828000000000006,94.7426
Decision Tree-Extra Tree-Passive Aggressive-Random Forest (10 estimators)-Gradient Boosting,5,jannis,0.33344000000000007,103.60589999999999
Decision Tree-Extra Tree-Passive Aggressive-Ridge,4,jannis,0.38920000000000005,82.0527
Decision Tree-Extra Tree-Passive Aggressive-Ridge-BernoulliNB,5,jannis,0.37695999999999996,93.6346
Decision Tree-Extra Tree-Passive Aggressive-Ridge-Extra Trees,5,jannis,0.34508,199.1703
Decision Tree-Extra Tree-Passive Aggressive-Ridge-Gradient Boosting,5,jannis,0.34404,100.10170000000001
Decision Tree-Extra Tree-Passive Aggressive-Ridge-Linear Discriminant,5,jannis,0.36504000000000003,84.48240000000001
Decision Tree-Extra Tree-Passive Aggressive-Ridge-Multi-layer Perceptron,5,jannis,0.36304,86.52879999999999
Decision Tree-Extra Tree-Passive Aggressive-Ridge-Nearest Neighbors,5,jannis,0.37992000000000004,1360.3830000000003
Decision Tree-Extra Tree-Passive Aggressive-Ridge-Quadratic Discriminant,5,jannis,0.37036,92.40450000000001
Decision Tree-Extra Tree-Passive Aggressive-Ridge-Random Forest (10 estimators),5,jannis,0.35284,96.2975
Decision Tree-Extra Tree-Passive Aggressive-Ridge-SGD,5,jannis,0.37503999999999993,85.5948
Decision Tree-Extra Tree-Passive Aggressive-SGD,4,jannis,0.4096399999999999,79.8931
Decision Tree-Extra Tree-Passive Aggressive-SGD-BernoulliNB,5,jannis,0.3920800000000001,81.6531
Decision Tree-Extra Tree-Passive Aggressive-SGD-Extra Trees,5,jannis,0.3532,185.82940000000002
Decision Tree-Extra Tree-Passive Aggressive-SGD-Gradient Boosting,5,jannis,0.35100000000000003,108.1539
Decision Tree-Extra Tree-Passive Aggressive-SGD-Linear Discriminant,5,jannis,0.3718,87.8014
Decision Tree-Extra Tree-Passive Aggressive-SGD-Multi-layer Perceptron,5,jannis,0.37648000000000004,91.14399999999999
