ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Logistic-Perceptron-Extra Trees,5,credit-g,0.246,18.410500000000003
Decision Tree-Extra Tree-Logistic-Perceptron-Gradient Boosting,5,credit-g,0.24699999999999997,4.728
Decision Tree-Extra Tree-Logistic-Perceptron-Linear Discriminant,5,credit-g,0.25200000000000006,4.2932999999999995
Decision Tree-Extra Tree-Logistic-Perceptron-Multi-layer Perceptron,5,credit-g,0.27699999999999997,4.503500000000001
Decision Tree-Extra Tree-Logistic-Perceptron-MultinomialNB,5,credit-g,0.281,3.8965999999999994
Decision Tree-Extra Tree-Logistic-Perceptron-Nearest Neighbors,5,credit-g,0.257,15.3001
Decision Tree-Extra Tree-Logistic-Perceptron-Quadratic Discriminant,5,credit-g,0.268,4.4017
Decision Tree-Extra Tree-Logistic-Perceptron-Random Forest (10 estimators),5,credit-g,0.25000000000000006,5.9033999999999995
Decision Tree-Extra Tree-Logistic-Perceptron-Ridge,5,credit-g,0.256,4.2998
Decision Tree-Extra Tree-Logistic-Perceptron-SGD,5,credit-g,0.30300000000000005,4.4861
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant,4,credit-g,0.275,4.1964
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-BernoulliNB,5,credit-g,0.24300000000000002,7.3088999999999995
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Extra Trees,5,credit-g,0.24300000000000002,19.2071
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Gradient Boosting,5,credit-g,0.24699999999999997,4.7959
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-MultinomialNB,5,credit-g,0.2720000000000001,4.896299999999998
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Nearest Neighbors,5,credit-g,0.26199999999999996,10.3987
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Random Forest (10 estimators),5,credit-g,0.24300000000000002,5.6974
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators),4,credit-g,0.277,5.396600000000001
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.23900000000000002,6.2432
Decision Tree-Extra Tree-Logistic-Ridge,4,credit-g,0.279,3.602099999999999
Decision Tree-Extra Tree-Logistic-Ridge-BernoulliNB,5,credit-g,0.248,4.895100000000001
Decision Tree-Extra Tree-Logistic-Ridge-Extra Trees,5,credit-g,0.24,19.2064
Decision Tree-Extra Tree-Logistic-Ridge-Gradient Boosting,5,credit-g,0.238,5.0939
Decision Tree-Extra Tree-Logistic-Ridge-Linear Discriminant,5,credit-g,0.24699999999999997,3.9995
Decision Tree-Extra Tree-Logistic-Ridge-Multi-layer Perceptron,5,credit-g,0.258,4.2979
Decision Tree-Extra Tree-Logistic-Ridge-MultinomialNB,5,credit-g,0.263,4.1083
Decision Tree-Extra Tree-Logistic-Ridge-Nearest Neighbors,5,credit-g,0.24300000000000002,15.4061
Decision Tree-Extra Tree-Logistic-Ridge-Quadratic Discriminant,5,credit-g,0.24900000000000003,4.6954
Decision Tree-Extra Tree-Logistic-Ridge-Random Forest (10 estimators),5,credit-g,0.24900000000000003,5.9085
Decision Tree-Extra Tree-Logistic-Ridge-SGD,5,credit-g,0.265,4.4031
Decision Tree-Extra Tree-Logistic-SGD,4,credit-g,0.33100000000000007,4.4643
Decision Tree-Extra Tree-Logistic-SGD-BernoulliNB,5,credit-g,0.266,4.094499999999999
Decision Tree-Extra Tree-Logistic-SGD-Extra Trees,5,credit-g,0.257,19.896499999999996
Decision Tree-Extra Tree-Logistic-SGD-Gradient Boosting,5,credit-g,0.257,4.8038
Decision Tree-Extra Tree-Logistic-SGD-Linear Discriminant,5,credit-g,0.263,4.123900000000001
Decision Tree-Extra Tree-Logistic-SGD-Multi-layer Perceptron,5,credit-g,0.29900000000000004,4.348999999999999
Decision Tree-Extra Tree-Logistic-SGD-MultinomialNB,5,credit-g,0.30000000000000004,3.9974
Decision Tree-Extra Tree-Logistic-SGD-Nearest Neighbors,5,credit-g,0.28700000000000003,9.8036
Decision Tree-Extra Tree-Logistic-SGD-Quadratic Discriminant,5,credit-g,0.278,4.2768
Decision Tree-Extra Tree-Logistic-SGD-Random Forest (10 estimators),5,credit-g,0.271,5.899900000000001
