ensembleDescription,k,dataset,errorRate
Decission Tree-Quadratic Discriminant-Nearest Neighbors,3,Breast Cancer,0.09901851929637874
Decission Tree-Quadratic Discriminant-Extra Trees,3,Breast Cancer,0.10031229143622558
Decission Tree-Quadratic Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.12637501575166968
Decission Tree-Quadratic Discriminant-Gradient Boosting,3,Breast Cancer,0.11134159887614754
Decission Tree-BernoulliNB-MultinomialNB,3,Breast Cancer,0.2186445746582471
Decission Tree-BernoulliNB-Nearest Neighbors,3,Breast Cancer,0.13886790999845983
Decission Tree-BernoulliNB-Extra Trees,3,Breast Cancer,0.11589476484507358
Decission Tree-BernoulliNB-Random Forest (10 estimators),3,Breast Cancer,0.14007474458959318
Decission Tree-BernoulliNB-Gradient Boosting,3,Breast Cancer,0.13324815763804296
Decission Tree-MultinomialNB-Nearest Neighbors,3,Breast Cancer,0.12579254234282164
Decission Tree-MultinomialNB-Extra Trees,3,Breast Cancer,0.09994769278876894
Decission Tree-MultinomialNB-Random Forest (10 estimators),3,Breast Cancer,0.1258067538492414
Decission Tree-MultinomialNB-Gradient Boosting,3,Breast Cancer,0.11268120254080263
Decission Tree-Nearest Neighbors-Extra Trees,3,Breast Cancer,0.0744398006188656
Decission Tree-Nearest Neighbors-Random Forest (10 estimators),3,Breast Cancer,0.09538658097758361
Decission Tree-Nearest Neighbors-Gradient Boosting,3,Breast Cancer,0.08371472209387529
Decission Tree-Extra Trees-Random Forest (10 estimators),3,Breast Cancer,0.09449256287833176
Decission Tree-Extra Trees-Gradient Boosting,3,Breast Cancer,0.07889117579796792
Decission Tree-Random Forest (10 estimators)-Gradient Boosting,3,Breast Cancer,0.10607121854916621
Extra Tree-Logistic-Passive Aggressive,3,Breast Cancer,0.1302910558519203
Extra Tree-Logistic-Perceptron,3,Breast Cancer,0.142374360015495
Extra Tree-Logistic-Ridge,3,Breast Cancer,0.12254538814447664
Extra Tree-Logistic-SGD,3,Breast Cancer,0.1269044352034649
Extra Tree-Logistic-Multi-layer Perceptron,3,Breast Cancer,0.11419885841232502
Extra Tree-Logistic-Linear Discriminant,3,Breast Cancer,0.11114628984005637
Extra Tree-Logistic-Quadratic Discriminant,3,Breast Cancer,0.11719784797188501
Extra Tree-Logistic-BernoulliNB,3,Breast Cancer,0.15577960263787963
Extra Tree-Logistic-MultinomialNB,3,Breast Cancer,0.1406825723526694
Extra Tree-Logistic-Nearest Neighbors,3,Breast Cancer,0.10240412483723274
Extra Tree-Logistic-Extra Trees,3,Breast Cancer,0.08928889962336009
Extra Tree-Logistic-Random Forest (10 estimators),3,Breast Cancer,0.11278162818592104
Extra Tree-Logistic-Gradient Boosting,3,Breast Cancer,0.1003213107256036
Extra Tree-Passive Aggressive-Perceptron,3,Breast Cancer,0.15845933502284576
Extra Tree-Passive Aggressive-Ridge,3,Breast Cancer,0.12646894237455836
Extra Tree-Passive Aggressive-SGD,3,Breast Cancer,0.1382192095695477
Extra Tree-Passive Aggressive-Multi-layer Perceptron,3,Breast Cancer,0.12760027396237333
Extra Tree-Passive Aggressive-Linear Discriminant,3,Breast Cancer,0.11674582172376939
Extra Tree-Passive Aggressive-Quadratic Discriminant,3,Breast Cancer,0.11992877911725308
Extra Tree-Passive Aggressive-BernoulliNB,3,Breast Cancer,0.173160730037384
Extra Tree-Passive Aggressive-MultinomialNB,3,Breast Cancer,0.1544734158487466
Extra Tree-Passive Aggressive-Nearest Neighbors,3,Breast Cancer,0.11031980556605667
Extra Tree-Passive Aggressive-Extra Trees,3,Breast Cancer,0.09544398706262865
Extra Tree-Passive Aggressive-Random Forest (10 estimators),3,Breast Cancer,0.12420297718224797
Extra Tree-Passive Aggressive-Gradient Boosting,3,Breast Cancer,0.11057205397105427
Extra Tree-Perceptron-Ridge,3,Breast Cancer,0.14669641982050094
Extra Tree-Perceptron-SGD,3,Breast Cancer,0.17244113542702189
Extra Tree-Perceptron-Multi-layer Perceptron,3,Breast Cancer,0.13673967273864363
Extra Tree-Perceptron-Linear Discriminant,3,Breast Cancer,0.13115458571941957
Extra Tree-Perceptron-Quadratic Discriminant,3,Breast Cancer,0.1349746106420614
Extra Tree-Perceptron-BernoulliNB,3,Breast Cancer,0.20315530446227298
Extra Tree-Perceptron-MultinomialNB,3,Breast Cancer,0.18858250141181626
Extra Tree-Perceptron-Nearest Neighbors,3,Breast Cancer,0.13245848559947354
Extra Tree-Perceptron-Extra Trees,3,Breast Cancer,0.11040209928919134
Extra Tree-Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.13637710430638983
Extra Tree-Perceptron-Gradient Boosting,3,Breast Cancer,0.12274618109519611
Extra Tree-Ridge-SGD,3,Breast Cancer,0.13260177912192025
Extra Tree-Ridge-Multi-layer Perceptron,3,Breast Cancer,0.11156316069503366
Extra Tree-Ridge-Linear Discriminant,3,Breast Cancer,0.12560004527146543
Extra Tree-Ridge-Quadratic Discriminant,3,Breast Cancer,0.12445450217723078
Extra Tree-Ridge-BernoulliNB,3,Breast Cancer,0.17293583119810702
Extra Tree-Ridge-MultinomialNB,3,Breast Cancer,0.14593099368533066
Extra Tree-Ridge-Nearest Neighbors,3,Breast Cancer,0.10032708633781848
Extra Tree-Ridge-Extra Trees,3,Breast Cancer,0.09414168568534931
Extra Tree-Ridge-Random Forest (10 estimators),3,Breast Cancer,0.1257630692186705
Extra Tree-Ridge-Gradient Boosting,3,Breast Cancer,0.10182524514265179
Extra Tree-SGD-Multi-layer Perceptron,3,Breast Cancer,0.11694226254649658
Extra Tree-SGD-Linear Discriminant,3,Breast Cancer,0.12248923052510233
Extra Tree-SGD-Quadratic Discriminant,3,Breast Cancer,0.12960481977756308
Extra Tree-SGD-BernoulliNB,3,Breast Cancer,0.18866169147262943
Extra Tree-SGD-MultinomialNB,3,Breast Cancer,0.16589453148700428
Extra Tree-SGD-Nearest Neighbors,3,Breast Cancer,0.1097171700200221
Extra Tree-SGD-Extra Trees,3,Breast Cancer,0.09427958863639545
Extra Tree-SGD-Random Forest (10 estimators),3,Breast Cancer,0.12543313591240673
Extra Tree-SGD-Gradient Boosting,3,Breast Cancer,0.10893671562518961
Extra Tree-Multi-layer Perceptron-Linear Discriminant,3,Breast Cancer,0.09944858655017433
Extra Tree-Multi-layer Perceptron-Quadratic Discriminant,3,Breast Cancer,0.10318709949921356
Extra Tree-Multi-layer Perceptron-BernoulliNB,3,Breast Cancer,0.15872899193981227
Extra Tree-Multi-layer Perceptron-MultinomialNB,3,Breast Cancer,0.13548749667464752
Extra Tree-Multi-layer Perceptron-Nearest Neighbors,3,Breast Cancer,0.08783782080900575
Extra Tree-Multi-layer Perceptron-Extra Trees,3,Breast Cancer,0.07480721123105714
Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.10005122209620887
Extra Tree-Multi-layer Perceptron-Gradient Boosting,3,Breast Cancer,0.09104638925059388
Extra Tree-Linear Discriminant-Quadratic Discriminant,3,Breast Cancer,0.11712593868283372
Extra Tree-Linear Discriminant-BernoulliNB,3,Breast Cancer,0.16386219272576227
Extra Tree-Linear Discriminant-MultinomialNB,3,Breast Cancer,0.13428115213545966
Extra Tree-Linear Discriminant-Nearest Neighbors,3,Breast Cancer,0.09116572856722813
Extra Tree-Linear Discriminant-Extra Trees,3,Breast Cancer,0.08450628433280594
Extra Tree-Linear Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.11372379972277062
Extra Tree-Linear Discriminant-Gradient Boosting,3,Breast Cancer,0.09553248811040639
Extra Tree-Quadratic Discriminant-BernoulliNB,3,Breast Cancer,0.16021575120296086
Extra Tree-Quadratic Discriminant-MultinomialNB,3,Breast Cancer,0.14032960660496677
Extra Tree-Quadratic Discriminant-Nearest Neighbors,3,Breast Cancer,0.10056303468167624
Extra Tree-Quadratic Discriminant-Extra Trees,3,Breast Cancer,0.10040001073447118
Extra Tree-Quadratic Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.12959550879059847
Extra Tree-Quadratic Discriminant-Gradient Boosting,3,Breast Cancer,0.10736809435133458
Extra Tree-BernoulliNB-MultinomialNB,3,Breast Cancer,0.22708143729902033
Extra Tree-BernoulliNB-Nearest Neighbors,3,Breast Cancer,0.14576669793664793
Extra Tree-BernoulliNB-Extra Trees,3,Breast Cancer,0.12369789697707956
Extra Tree-BernoulliNB-Random Forest (10 estimators),3,Breast Cancer,0.15125805668734219
Extra Tree-BernoulliNB-Gradient Boosting,3,Breast Cancer,0.13940014141499
Extra Tree-MultinomialNB-Nearest Neighbors,3,Breast Cancer,0.1317085777759109
Extra Tree-MultinomialNB-Extra Trees,3,Breast Cancer,0.10398719097557674
Extra Tree-MultinomialNB-Random Forest (10 estimators),3,Breast Cancer,0.1383925596113188
Extra Tree-MultinomialNB-Gradient Boosting,3,Breast Cancer,0.11800725043521279
Extra Tree-Nearest Neighbors-Extra Trees,3,Breast Cancer,0.07218314641351982
Extra Tree-Nearest Neighbors-Random Forest (10 estimators),3,Breast Cancer,0.09798271283422706
Extra Tree-Nearest Neighbors-Gradient Boosting,3,Breast Cancer,0.08440818060047699
Extra Tree-Extra Trees-Random Forest (10 estimators),3,Breast Cancer,0.09316227020064127
Extra Tree-Extra Trees-Gradient Boosting,3,Breast Cancer,0.07722140546897972
Extra Tree-Random Forest (10 estimators)-Gradient Boosting,3,Breast Cancer,0.10530889607631741
Logistic-Passive Aggressive-Perceptron,3,Breast Cancer,0.13619128127581523
Logistic-Passive Aggressive-Ridge,3,Breast Cancer,0.11486826936988652
Logistic-Passive Aggressive-SGD,3,Breast Cancer,0.12938050433345935
Logistic-Passive Aggressive-Multi-layer Perceptron,3,Breast Cancer,0.11426485207431991
Logistic-Passive Aggressive-Linear Discriminant,3,Breast Cancer,0.10968972711107376
Logistic-Passive Aggressive-Quadratic Discriminant,3,Breast Cancer,0.10309526143104501
Logistic-Passive Aggressive-BernoulliNB,3,Breast Cancer,0.14028383341967582
Logistic-Passive Aggressive-MultinomialNB,3,Breast Cancer,0.13574235869002116
Logistic-Passive Aggressive-Nearest Neighbors,3,Breast Cancer,0.10397996854333227
Logistic-Passive Aggressive-Extra Trees,3,Breast Cancer,0.09927857352879403
Logistic-Passive Aggressive-Random Forest (10 estimators),3,Breast Cancer,0.11271824813430224
Logistic-Passive Aggressive-Gradient Boosting,3,Breast Cancer,0.10075709525209672
Logistic-Perceptron-Ridge,3,Breast Cancer,0.1300113645379744
Logistic-Perceptron-SGD,3,Breast Cancer,0.15541111857856932
Logistic-Perceptron-Multi-layer Perceptron,3,Breast Cancer,0.12597424660347328
Logistic-Perceptron-Linear Discriminant,3,Breast Cancer,0.1223536494868456
Logistic-Perceptron-Quadratic Discriminant,3,Breast Cancer,0.11790610138007962
Logistic-Perceptron-BernoulliNB,3,Breast Cancer,0.17205785646611876
Logistic-Perceptron-MultinomialNB,3,Breast Cancer,0.16357110187013152
Logistic-Perceptron-Nearest Neighbors,3,Breast Cancer,0.13012652674516836
Logistic-Perceptron-Extra Trees,3,Breast Cancer,0.10954483508585247
Logistic-Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.12187960590489258
Logistic-Perceptron-Gradient Boosting,3,Breast Cancer,0.10823937170673423
Logistic-Ridge-SGD,3,Breast Cancer,0.11833927229619674
Logistic-Ridge-Multi-layer Perceptron,3,Breast Cancer,0.10511280529069414
Logistic-Ridge-Linear Discriminant,3,Breast Cancer,0.11900868325375821
Logistic-Ridge-Quadratic Discriminant,3,Breast Cancer,0.10636570476470505
Logistic-Ridge-BernoulliNB,3,Breast Cancer,0.14202348282251254
Logistic-Ridge-MultinomialNB,3,Breast Cancer,0.13150879993279288
Logistic-Ridge-Nearest Neighbors,3,Breast Cancer,0.09676084998343157
Logistic-Ridge-Extra Trees,3,Breast Cancer,0.09299512748351324
Logistic-Ridge-Random Forest (10 estimators),3,Breast Cancer,0.1115256250495886
Logistic-Ridge-Gradient Boosting,3,Breast Cancer,0.09783831086095127
Logistic-SGD-Multi-layer Perceptron,3,Breast Cancer,0.1084554496109921
Logistic-SGD-Linear Discriminant,3,Breast Cancer,0.1103767449349631
Logistic-SGD-Quadratic Discriminant,3,Breast Cancer,0.10875405459645389
Logistic-SGD-BernoulliNB,3,Breast Cancer,0.16532215081465299
Logistic-SGD-MultinomialNB,3,Breast Cancer,0.14740151122685669
Logistic-SGD-Nearest Neighbors,3,Breast Cancer,0.11507115087532613
Logistic-SGD-Extra Trees,3,Breast Cancer,0.10095455118242533
Logistic-SGD-Random Forest (10 estimators),3,Breast Cancer,0.11144721673830757
Logistic-SGD-Gradient Boosting,3,Breast Cancer,0.10067868694081575
Logistic-Multi-layer Perceptron-Linear Discriminant,3,Breast Cancer,0.10493736669420291
Logistic-Multi-layer Perceptron-Quadratic Discriminant,3,Breast Cancer,0.09077290526129103
Logistic-Multi-layer Perceptron-BernoulliNB,3,Breast Cancer,0.12025900412110349
Logistic-Multi-layer Perceptron-MultinomialNB,3,Breast Cancer,0.11566424207632678
Logistic-Multi-layer Perceptron-Nearest Neighbors,3,Breast Cancer,0.09404906586764863
Logistic-Multi-layer Perceptron-Extra Trees,3,Breast Cancer,0.08990633007098753
Logistic-Multi-layer Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.09944470113832066
Logistic-Multi-layer Perceptron-Gradient Boosting,3,Breast Cancer,0.09010761307365248
Logistic-Linear Discriminant-Quadratic Discriminant,3,Breast Cancer,0.09972517420179872
Logistic-Linear Discriminant-BernoulliNB,3,Breast Cancer,0.13860553385325508
Logistic-Linear Discriminant-MultinomialNB,3,Breast Cancer,0.1266288626594419
Logistic-Linear Discriminant-Nearest Neighbors,3,Breast Cancer,0.10047740393815077
Logistic-Linear Discriminant-Extra Trees,3,Breast Cancer,0.0897787532145074
Logistic-Linear Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.09646093819278176
Logistic-Linear Discriminant-Gradient Boosting,3,Breast Cancer,0.09591469362419082
Logistic-Quadratic Discriminant-BernoulliNB,3,Breast Cancer,0.12902341981583382
Logistic-Quadratic Discriminant-MultinomialNB,3,Breast Cancer,0.1234647605979567
Logistic-Quadratic Discriminant-Nearest Neighbors,3,Breast Cancer,0.08377659698594718
Logistic-Quadratic Discriminant-Extra Trees,3,Breast Cancer,0.07582749938160112
Logistic-Quadratic Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.09829683613129658
Logistic-Quadratic Discriminant-Gradient Boosting,3,Breast Cancer,0.08290531963054751
Logistic-BernoulliNB-MultinomialNB,3,Breast Cancer,0.20690933572292
Logistic-BernoulliNB-Nearest Neighbors,3,Breast Cancer,0.11653003551709815
Logistic-BernoulliNB-Extra Trees,3,Breast Cancer,0.10223178990306306
Logistic-BernoulliNB-Random Forest (10 estimators),3,Breast Cancer,0.1235586872208454
Logistic-BernoulliNB-Gradient Boosting,3,Breast Cancer,0.11278395009871045
Logistic-MultinomialNB-Nearest Neighbors,3,Breast Cancer,0.11271024395252563
Logistic-MultinomialNB-Extra Trees,3,Breast Cancer,0.09944470113832066
Logistic-MultinomialNB-Random Forest (10 estimators),3,Breast Cancer,0.1185431689092377
Logistic-MultinomialNB-Gradient Boosting,3,Breast Cancer,0.10945061676537711
Logistic-Nearest Neighbors-Extra Trees,3,Breast Cancer,0.07811470015821678
Logistic-Nearest Neighbors-Random Forest (10 estimators),3,Breast Cancer,0.09061870224910508
Logistic-Nearest Neighbors-Gradient Boosting,3,Breast Cancer,0.08990633007098751
Logistic-Extra Trees-Random Forest (10 estimators),3,Breast Cancer,0.07641748692028023
Logistic-Extra Trees-Gradient Boosting,3,Breast Cancer,0.07789911230590443
Logistic-Random Forest (10 estimators)-Gradient Boosting,3,Breast Cancer,0.09107461390907437
Passive Aggressive-Perceptron-Ridge,3,Breast Cancer,0.13728687407531864
Passive Aggressive-Perceptron-SGD,3,Breast Cancer,0.16467600565659957
Passive Aggressive-Perceptron-Multi-layer Perceptron,3,Breast Cancer,0.13793850314800035
Passive Aggressive-Perceptron-Linear Discriminant,3,Breast Cancer,0.13370279749653463
Passive Aggressive-Perceptron-Quadratic Discriminant,3,Breast Cancer,0.1339597480666284
Passive Aggressive-Perceptron-BernoulliNB,3,Breast Cancer,0.19240151122685673
Passive Aggressive-Perceptron-MultinomialNB,3,Breast Cancer,0.17921025795400983
Passive Aggressive-Perceptron-Nearest Neighbors,3,Breast Cancer,0.13621872418476355
Passive Aggressive-Perceptron-Extra Trees,3,Breast Cancer,0.120897086757863
Passive Aggressive-Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.13387202876838275
Passive Aggressive-Perceptron-Gradient Boosting,3,Breast Cancer,0.12535704951391513
Passive Aggressive-Ridge-SGD,3,Breast Cancer,0.13728353705492785
Passive Aggressive-Ridge-Multi-layer Perceptron,3,Breast Cancer,0.11528824388718537
Passive Aggressive-Ridge-Linear Discriminant,3,Breast Cancer,0.11939811119978716
Passive Aggressive-Ridge-Quadratic Discriminant,3,Breast Cancer,0.1055283693404834
Passive Aggressive-Ridge-BernoulliNB,3,Breast Cancer,0.15819928079043044
Passive Aggressive-Ridge-MultinomialNB,3,Breast Cancer,0.14057933474281606
Passive Aggressive-Ridge-Nearest Neighbors,3,Breast Cancer,0.09871681064859542
Passive Aggressive-Ridge-Extra Trees,3,Breast Cancer,0.09152382819245507
Passive Aggressive-Ridge-Random Forest (10 estimators),3,Breast Cancer,0.11053768032744807
Passive Aggressive-Ridge-Gradient Boosting,3,Breast Cancer,0.0957863350181786
Passive Aggressive-SGD-Multi-layer Perceptron,3,Breast Cancer,0.12333228322202153
Passive Aggressive-SGD-Linear Discriminant,3,Breast Cancer,0.12525978587063563
Passive Aggressive-SGD-Quadratic Discriminant,3,Breast Cancer,0.12354627257155923
Passive Aggressive-SGD-BernoulliNB,3,Breast Cancer,0.17900325767864728
Passive Aggressive-SGD-MultinomialNB,3,Breast Cancer,0.15415589719176898
Passive Aggressive-SGD-Nearest Neighbors,3,Breast Cancer,0.12173471387967125
Passive Aggressive-SGD-Extra Trees,3,Breast Cancer,0.11009728697908647
Passive Aggressive-SGD-Random Forest (10 estimators),3,Breast Cancer,0.12529445121182842
Passive Aggressive-SGD-Gradient Boosting,3,Breast Cancer,0.11391707854365898
Passive Aggressive-Multi-layer Perceptron-Linear Discriminant,3,Breast Cancer,0.11584690310506247
Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant,3,Breast Cancer,0.10192387393063665
Passive Aggressive-Multi-layer Perceptron-BernoulliNB,3,Breast Cancer,0.13680560806112113
Passive Aggressive-Multi-layer Perceptron-MultinomialNB,3,Breast Cancer,0.12990711182051964
Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors,3,Breast Cancer,0.10393831412796421
Passive Aggressive-Multi-layer Perceptron-Extra Trees,3,Breast Cancer,0.09803808870406927
Passive Aggressive-Multi-layer Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.10916471812678812
Passive Aggressive-Multi-layer Perceptron-Gradient Boosting,3,Breast Cancer,0.10472648100698674
Passive Aggressive-Linear Discriminant-Quadratic Discriminant,3,Breast Cancer,0.09388473511525555
Passive Aggressive-Linear Discriminant-BernoulliNB,3,Breast Cancer,0.1599474594306996
Passive Aggressive-Linear Discriminant-MultinomialNB,3,Breast Cancer,0.1421489711242725
Passive Aggressive-Linear Discriminant-Nearest Neighbors,3,Breast Cancer,0.09520183139412777
Passive Aggressive-Linear Discriminant-Extra Trees,3,Breast Cancer,0.08459089996873004
Passive Aggressive-Linear Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.09842000252026716
Passive Aggressive-Linear Discriminant-Gradient Boosting,3,Breast Cancer,0.08980149395835958
Passive Aggressive-Quadratic Discriminant-BernoulliNB,3,Breast Cancer,0.1421489711242725
Passive Aggressive-Quadratic Discriminant-MultinomialNB,3,Breast Cancer,0.13650569627047132
Passive Aggressive-Quadratic Discriminant-Nearest Neighbors,3,Breast Cancer,0.08672360603557311
Passive Aggressive-Quadratic Discriminant-Extra Trees,3,Breast Cancer,0.0727865637090865
Passive Aggressive-Quadratic Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.09756584197924982
