ensembleDescription,k,dataset,errorRate
Linear SVC-Multi-layer Perceptron-Nearest Neighbors,3,Breast Cancer,0.10241265407466524
Linear SVC-Multi-layer Perceptron-Extra Trees,3,Breast Cancer,0.09856852326346592
Linear SVC-Multi-layer Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.11208660618025515
Linear SVC-Multi-layer Perceptron-Gradient Boosting,3,Breast Cancer,0.10174503997423727
Linear SVC-Linear Discriminant-Quadratic Discriminant,3,Breast Cancer,0.10202270107298042
Linear SVC-Linear Discriminant-BernoulliNB,3,Breast Cancer,0.1639835622575993
Linear SVC-Linear Discriminant-MultinomialNB,3,Breast Cancer,0.14858583843220713
Linear SVC-Linear Discriminant-Nearest Neighbors,3,Breast Cancer,0.10915230347750193
Linear SVC-Linear Discriminant-Extra Trees,3,Breast Cancer,0.09041892440598705
Linear SVC-Linear Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.10274438423806256
Linear SVC-Linear Discriminant-Gradient Boosting,3,Breast Cancer,0.09857342378292099
Linear SVC-Quadratic Discriminant-BernoulliNB,3,Breast Cancer,0.14858583843220716
Linear SVC-Quadratic Discriminant-MultinomialNB,3,Breast Cancer,0.1431148985125757
Linear SVC-Quadratic Discriminant-Nearest Neighbors,3,Breast Cancer,0.10494929129154358
Linear SVC-Quadratic Discriminant-Extra Trees,3,Breast Cancer,0.08529056579997482
Linear SVC-Quadratic Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.10616854053196305
Linear SVC-Quadratic Discriminant-Gradient Boosting,3,Breast Cancer,0.08733085040347609
Linear SVC-BernoulliNB-MultinomialNB,3,Breast Cancer,0.2108859439100545
Linear SVC-BernoulliNB-Nearest Neighbors,3,Breast Cancer,0.12786676887750098
Linear SVC-BernoulliNB-Extra Trees,3,Breast Cancer,0.12935799694767644
Linear SVC-BernoulliNB-Random Forest (10 estimators),3,Breast Cancer,0.14837184908266937
Linear SVC-BernoulliNB-Gradient Boosting,3,Breast Cancer,0.1443952408955349
Linear SVC-MultinomialNB-Nearest Neighbors,3,Breast Cancer,0.12803600014934918
Linear SVC-MultinomialNB-Extra Trees,3,Breast Cancer,0.12889016069036652
Linear SVC-MultinomialNB-Random Forest (10 estimators),3,Breast Cancer,0.1451169240606171
Linear SVC-MultinomialNB-Gradient Boosting,3,Breast Cancer,0.13764395859294415
Linear SVC-Nearest Neighbors-Extra Trees,3,Breast Cancer,0.09318249067734513
Linear SVC-Nearest Neighbors-Random Forest (10 estimators),3,Breast Cancer,0.10448455869655518
Linear SVC-Nearest Neighbors-Gradient Boosting,3,Breast Cancer,0.09402394487148971
Linear SVC-Extra Trees-Random Forest (10 estimators),3,Breast Cancer,0.08261942099195847
Linear SVC-Extra Trees-Gradient Boosting,3,Breast Cancer,0.07619180633147114
Linear SVC-Random Forest (10 estimators)-Gradient Boosting,3,Breast Cancer,0.0896690165824244
Decission Tree-Extra Tree-Logistic,3,Breast Cancer,0.14281475336385657
Decission Tree-Extra Tree-Passive Aggressive,3,Breast Cancer,0.15058942747931278
Decission Tree-Extra Tree-Perceptron,3,Breast Cancer,0.16513299076368765
Decission Tree-Extra Tree-Ridge,3,Breast Cancer,0.14654061830554038
Decission Tree-Extra Tree-SGD,3,Breast Cancer,0.15420143701899067
Decission Tree-Extra Tree-Multi-layer Perceptron,3,Breast Cancer,0.12883843687430868
Decission Tree-Extra Tree-Linear Discriminant,3,Breast Cancer,0.14071569753060492
Decission Tree-Extra Tree-Quadratic Discriminant,3,Breast Cancer,0.1490145988808147
Decission Tree-Extra Tree-BernoulliNB,3,Breast Cancer,0.18602361350303134
Decission Tree-Extra Tree-MultinomialNB,3,Breast Cancer,0.16209515875349453
Decission Tree-Extra Tree-Nearest Neighbors,3,Breast Cancer,0.12682321492744902
Decission Tree-Extra Tree-Extra Trees,3,Breast Cancer,0.11036224173095681
Decission Tree-Extra Tree-Random Forest (10 estimators),3,Breast Cancer,0.14669743492810236
Decission Tree-Extra Tree-Gradient Boosting,3,Breast Cancer,0.1283620130400489
Decission Tree-Logistic-Passive Aggressive,3,Breast Cancer,0.11881975656086215
Decission Tree-Logistic-Perceptron,3,Breast Cancer,0.1298514442530908
Decission Tree-Logistic-Ridge,3,Breast Cancer,0.11936576777138375
Decission Tree-Logistic-SGD,3,Breast Cancer,0.12738468611006099
Decission Tree-Logistic-Multi-layer Perceptron,3,Breast Cancer,0.10148188207950044
Decission Tree-Logistic-Linear Discriminant,3,Breast Cancer,0.10734201658709157
Decission Tree-Logistic-Quadratic Discriminant,3,Breast Cancer,0.11619957715517844
Decission Tree-Logistic-BernoulliNB,3,Breast Cancer,0.14330663717020672
Decission Tree-Logistic-MultinomialNB,3,Breast Cancer,0.12624224667814787
Decission Tree-Logistic-Nearest Neighbors,3,Breast Cancer,0.10295657673046679
Decission Tree-Logistic-Extra Trees,3,Breast Cancer,0.09059436300247825
Decission Tree-Logistic-Random Forest (10 estimators),3,Breast Cancer,0.11423430550304998
Decission Tree-Logistic-Gradient Boosting,3,Breast Cancer,0.10219474430956348
Decission Tree-Passive Aggressive-Perceptron,3,Breast Cancer,0.1459364192604416
Decission Tree-Passive Aggressive-Ridge,3,Breast Cancer,0.1150069540704648
Decission Tree-Passive Aggressive-SGD,3,Breast Cancer,0.13497049187213844
Decission Tree-Passive Aggressive-Multi-layer Perceptron,3,Breast Cancer,0.11768590470589883
